file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00320_1298_5487534_to_5491612,ཕྱི་མ་གྲུབ་སྟེ། དེ་ལ་ཉེ་བ་དང་། སེམས་ཉིད་སྟོབས་དང་ལྡན་པའི་ཕྱིར།  ,phyi ma grub ste/_de la nye ba dang /_sems nyid stobs dang ldan pa'i phyir/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00320_1298_5487534_to_5491612.wav,STT_AB,2,64,4.078,wav16k/STT_AB00320_1298_5487534_to_5491612.wav,ཕྱི་མ་གྲུག་སྟེ། དེ་ལ་ཉེ་བ་དང་སེམས་ཉིད་སྟོབས་དང་ལྡན་པའི་ཕྱིར།
STT_NS_M0491_0454_3236485_to_3239098,དེ་ཚོ་གིས་ཨེ་ནས་ངས་ང་རང་།  ,de tsho gis e nas ngas nga rang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0491_0454_3236485_to_3239098.wav,STT_NS,2,27,2.613,wav16k/STT_NS_M0491_0454_3236485_to_3239098.wav,དེ་ཚོ་གི་ཨེ་ནས་ངས་ང་རང་།
STT_NS_M0491_0459_3266953_to_3269333,སེམས་ཅན་ཅིག་ངེད་ཀིས་ནང་ལ་གསོ་སྐྱོང་བྱེད་ཀི་ཡོད་བ་ཡིན་ན།  ,sems can cig nged kis nang la gso skyong byed ki yod ba yin na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0491_0459_3266953_to_3269333.wav,STT_NS,2,57,2.38,wav16k/STT_NS_M0491_0459_3266953_to_3269333.wav,སེམས་ཅན་གཅིག་ངེད་ཀིས་ནང་ལ་གསོ་སྐྱོང་བྱེད་ཀི་ཡོད་པ་ཡིན་ན།
STT_NS_M0491_0461_3284786_to_3288083,ང་གཅིག་པུ་གཡུགས་ནས་མ་འགྲོ་དང་འདྲ་བོ་ཡོད་བ། ཨེ་འདྲའི་འདྲ་བོ་ལབ་ཀི་རེད་བསམ་གི་འདུག་ད།  ,nga gcig pu g.yugs nas ma 'gro dang 'dra bo yod ba/_e 'dra'i 'dra bo lab ki red bsam gi 'dug da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0491_0461_3284786_to_3288083.wav,STT_NS,2,85,3.297,wav16k/STT_NS_M0491_0461_3284786_to_3288083.wav,ང་གཅིག་པུ་གཡུགས་ནས་མ་འགྲོ་ད་འདྲ་བོ་ཡོད་བ། ཨེ་འདྲའི་འདྲ་བོ་ལབ་ཀི་རེད་བསམ་གི་འདུག་ད།
STT_NS_M0491_0463_3300587_to_3303269,དགའ་ཀི་འདུག་འདྲ་བོ་ཡོད་བ། ཨེ་འདྲའི་འདྲ་བོ་ཡང་ལབ་མདོག་ཁག་པོ་འདྲ་བོ་ང་རང་གིས།  ,dga' ki 'dug 'dra bo yod ba/_e 'dra'i 'dra bo yang lab mdog khag po 'dra bo nga rang gis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0491_0463_3300587_to_3303269.wav,STT_NS,2,77,2.682,wav16k/STT_NS_M0491_0463_3300587_to_3303269.wav,སྐྱེཀི་འདུག་འདྲ་བོ་ཡོད་བ། ཨེ་འདྲའི་འདྲ་བོ་ཡང་ལབ་མདོག་ཁ་བོ་འདྲ་བོ་ང་རང་གིས།
STT_NS_M0491_0458_3260545_to_3262588,ག་རེ་ལབ་ཀི་རེད་བསམ་གི་འདུག་འདྲ་བོ་ཡོད་བ། ཨེ་འདྲའི་འདྲ་བོ་ལབ་ཤག ,ga re lab ki red bsam gi 'dug 'dra bo yod ba/_e 'dra'i 'dra bo lab shag_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0491_0458_3260545_to_3262588.wav,STT_NS,2,63,2.043,wav16k/STT_NS_M0491_0458_3260545_to_3262588.wav,ག་རེ་ལབ་ཀི་རེད་བསམ་གི་འདུག་འདྲ་བོ་ཡོད་བ། ཨེ་འདྲའི་འདྲ་བོ་ལབ་ཤག
STT_AB00615_0078_450827_to_456254,ཡུལ་དུས་གང་ན་ཡང་ཞེས་པས་འགོག་པས་ནམ་ཡང་ཞེས་སྨོས་པ་དོན་མེད་པ་མིན་ནོ།  ,yul dus gang na yang zhes pas 'gog pas nam yang zhes smos pa don med pa min no/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00615_0078_450827_to_456254.wav,STT_AB,2,67,5.427,wav16k/STT_AB00615_0078_450827_to_456254.wav,ཡུལ་དུས་གང་ན་ཡང་ཞེས་པས་འགོག་པས་ནམ་ཡང་ཞེས་སྨོས་པ་དོན་མེད་པ་མིན་ནོ།
STT_NS_M0491_0462_3290429_to_3294759,སེམས་ཅན་གསོ་སྐྱོང་བྱེད་མྱི་མང་པོ་ཡོད་རཱ། ཁྱི་དང་ཞི་མི། ཁོ་ཚོ་སྐད་ཆ་བཤད་ཐུབ་མྱི་ཡིན་ན་ཁོ་ཚོས།  ,sems can gso skyong byed myi mang po yod rA/_khyi dang zhi mi/_kho tsho skad cha bshad thub myi yin na kho tshos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0491_0462_3290429_to_3294759.wav,STT_NS,2,94,4.33,wav16k/STT_NS_M0491_0462_3290429_to_3294759.wav,སེམས་ཅན་གསོ་སྐྱོང་བྱེད་མྱི་མང་པོ་ཡོད་རཱ། ཁྱི་དང་ཞི་མི། ཁོ་ཚོས་སྐད་ཆ་བཤད་ཐུབ་མྱི་ཡིན་ན་ཁོ་ཚོས།
STT_AB00734_0128_873472_to_875840,ལས་སྨོན་གྱིས་མཇལ་བའི་ཆེས་མཛངས་སྤྱོད་ལྡན་ཞིང་ ,las smon gyis mjal ba'i ches mdzangs spyod ldan zhing _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00734_0128_873472_to_875840.wav,STT_AB,2,45,2.368,wav16k/STT_AB00734_0128_873472_to_875840.wav,ལད་སྨོན་གྱི་རྒྱལ་བའི་ཆེས་བཟང་ཆོས་ལྡན་ཞིང་།
STT_AB00734_0129_876160_to_878656,རིག་རྩལ་གྱིས་ཕྱུག་པའི་དགེ་སློང་ན་གཞོན་ཁོང་ད་ལྟ་ ,rig rtsal gyis phyug pa'i dge slong na gzhon khong da lta _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00734_0129_876160_to_878656.wav,STT_AB,2,48,2.496,wav16k/STT_AB00734_0129_876160_to_878656.wav,རིག་རྩལ་གྱི་ཕྱུ་པའེ་དགེ་སློང་ན་གཞུན་ཁོང་དྷ་དག
